developer,genre,type,rating
Nintendo,"['Action Adventure', 'Fantasy']",singleplayer,E
Nintendo,"['Action', 'Platformer', '3D']",singleplayer,E
Nintendo EAD Tokyo ,"['Action', 'Platformer', '3D']",singleplayer,E
Retro Studios,"['Action', 'Shooter', 'First-Person', 'Sci-Fi']",singleplayer,T
Nintendo,"['Action', 'Platformer', '3D']",singleplayer,E10+
Bungie Software,"['Action', 'Shooter', 'First-Person', 'Sci-Fi']",multiplayer,M
HuneX,"['Adventure', 'Visual Novel']",singleplayer,M
Visual Concepts,"['Sports', 'Traditional', 'Football', 'Sim']",NaN,E
Naughty Dog,"['Action Adventure', 'Modern', 'Linear']",singleplayer,T
Namco,"['Action', 'Fighting', '3D']",multiplayer,T
Nintendo,"['Action Adventure', 'Fantasy']",singleplayer,E
Polyphony Digital,"['Driving', 'Racing', 'GT / Street']",multiplayer,E
KCEJ,"['Action Adventure', 'Modern']",singleplayer,M
Rockstar North,"['Miscellaneous', 'Compilation']",singleplayer,M
BioWare,"['Role-Playing', 'PC-style RPG', 'Western-Style']",multiplayer,T
Monstars Inc.,"['Puzzle', 'Stacking']",NaN,NaN
Nintendo,"['Action Adventure', 'Fantasy']",singleplayer,E
Polyphony Digital,"['Driving', 'Racing', 'GT / Street']",multiplayer,E
Capcom,"['Action Adventure', 'Fantasy']",NaN,E
Nintendo,"['Action Adventure', 'Fantasy']",singleplayer,E
Naughty Dog,"['Modern', 'Adventure', 'General', 'Action Adventure']",multiplayer,M
Atlus,"['Role-Playing', 'Japanese-Style']",singleplayer,M
Naughty Dog,"['Action Adventure', 'General', 'Modern']",multiplayer,M
GREZZO,"['Miscellaneous', 'Fantasy', 'Compilation', 'Action Adventure', 'Open-World']",singleplayer,E10+
SquareSoft,"['Role-Playing', 'Console-style RPG']",singleplayer,T
Epic Games,"['Action', 'Shooter', 'Third-Person', 'Sci-Fi', 'Arcade']",multiplayer,M
MPS Labs,"['Strategy', 'Turn-Based', 'Historic', 'General', '4X']",singleplayer,K-A
Bungie Software,"['Action', 'Shooter', 'First-Person', 'Sci-Fi', 'Arcade']",multiplayer,M
Team Ninja,"['Action Adventure', 'Fantasy']",singleplayer,M
Nintendo,"['Action', 'Platformer', '2D']",multiplayer,E
Smilebit,"['Action', 'Platformer', '3D']",NaN,T
LucasArts,"['Adventure', 'General', '3D', 'Third-Person', 'Fantasy']",singleplayer,T
NexTech,"['Action Adventure', 'Survival']",singleplayer,M
Blizzard Entertainment,"['Role-Playing', 'Action RPG']",multiplayer,M
Aspect,"['Action Adventure', 'Modern']",multiplayer,M
Kojima Productions,"['Action Adventure', 'Modern', 'General']",multiplayer,M
Firaxis Games,"['Strategy', 'Turn-Based', 'Historic', '4X']",multiplayer,E10+
Sega AM2,"['Action', 'Fighting', '3D']",multiplayer,T
Nintendo,"['Action', 'Platformer', '3D']",singleplayer,E
Game Arts,"['Action', 'Fighting', '3D', '2D']",multiplayer,T
Relic,"['Strategy', 'Real-Time', 'Historic', 'General']",multiplayer,M
Polyphony Digital,"['Driving', 'Racing', 'GT / Street']",multiplayer,T
Naughty Dog,"['General', 'Action Adventure', 'Survival']",singleplayer,M
