,movie,year,timeMin,imdb,metascore,votes,us_gross
0,The Shawshank Redemption,1994,142,9.3,80,"2,468,640",$28.34M
1,The Godfather,1972,175,9.2,100,"1,706,249",$134.97M
2,The Dark Knight,2008,152,9,84,"2,423,064",$534.86M
3,The Godfather: Part II,1974,202,9,90,"1,185,251",$57.30M
4,12 Angry Men,1957,96,9,96,"730,656",$4.36M
5,The Lord of the Rings: The Return of the King,2003,201,8.9,94,"1,712,097",$377.85M
6,Pulp Fiction,1994,154,8.9,94,"1,911,375",$107.93M
7,Schindler's List,1993,195,8.9,94,"1,268,294",$96.90M
8,Inception,2010,148,8.8,74,"2,173,935",$292.58M
9,Fight Club,1999,139,8.8,66,"1,943,233",$37.03M
10,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,"1,733,380",$315.54M
11,Forrest Gump,1994,142,8.8,82,"1,908,243",$330.25M
12,"The Good, the Bad and the Ugly",1966,178,8.8,90,"718,792",$6.10M
13,The Lord of the Rings: The Two Towers,2002,179,8.7,87,"1,547,870",$342.55M
14,The Matrix,1999,136,8.7,73,"1,762,812",$171.48M
15,Goodfellas,1990,146,8.7,90,"1,071,760",$46.84M
16,Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,82,"1,206,649",$290.48M
17,One Flew Over the Cuckoo's Nest,1975,133,8.7,84,"955,110",$112.00M
18,Parasite,2019,132,8.6,96,"663,789",$53.37M
19,Interstellar,2014,169,8.6,74,"1,618,870",$188.02M
20,City of God,2002,130,8.6,79,"722,663",$7.56M
21,Spirited Away,2001,125,8.6,96,"695,032",$10.06M
22,Saving Private Ryan,1998,169,8.6,91,"1,293,775",$216.54M
23,The Green Mile,1999,189,8.6,61,"1,205,480",$136.80M
24,Life Is Beautiful,1997,116,8.6,59,"653,017",$57.60M
25,Se7en,1995,127,8.6,65,"1,519,149",$100.13M
26,The Silence of the Lambs,1991,118,8.6,85,"1,333,827",$130.74M
27,Star Wars: Episode IV - A New Hope,1977,121,8.6,90,"1,278,463",$322.74M
